id,sentence,subject_entity,object_entity,label
79,90년대는 힙합이 미국 대중음악의 중심 중 하나의 축을 형성하게 된 시대라고 보아도 무방할 것이다.,"{'word': '90년대', 'start_idx': 0, 'end_idx': 3, 'type': 'DAT'}","{'word': '힙합', 'start_idx': 6, 'end_idx': 7, 'type': 'GEN'}",no_relation
450,"빅 빌 브룬지와 윌리 딕슨은 유럽에 새로운 시장을 찾기 시작했고, 딕 워터맨과 그가 유럽에서 만든 블루스 페스티벌은 영국에서 블루스가 유명해지는 중요한 역할을 하게된다.","{'word': '유럽', 'start_idx': 47, 'end_idx': 48, 'type': 'LOC'}","{'word': '딕 워터맨', 'start_idx': 37, 'end_idx': 41, 'type': 'ART'}",no_relation
1912,"시부야계 관련 뮤지션에는 피치카토 파이브, 고니시 야스하루, 판타스틱 플라스틱 머신, 캡슐, 나카타 야스타카, COLTEMONIKHA, Perfume, 고시지마 도시코, FreeTEMPO, DJ KAWASAKI, DJ Okawari, Daishi Dance, 800 Cherries, Buffalo Daughter, 세씨, 씨보 마토, 차피, Chocolat, Copter4016882, 코넬리우스, Cubismo Grafico, Cymbals, Dahlia, 플리퍼스 기타, Gulliver, Hazel Nuts Chocolate, Hi-Posi, Hideki Kaji, Kahimi Karie, Kiiiiiii, Kirinji, Macdonald Duck Eclair, m-flo, Misswonda, Nagisa Cosmetic, 마키 노미야, 카리야 노모토, 오자와 겐지, 오리지널 러브 (다지마 다카오), P&ART SASANOOOHA, 패리스 매치, Pine*AM, Plus-Tech Squeeze Box, 시이나 켄스케, 사운드 호라이즌, 스트로베리 머신, 미네카와 다카코, 오에 다쓰야 (캡틴 펑크), Towa Tei, 타코반장, 오노 요코, 스나하라 요시노리, 유카리 프레시 등이 있다. ","{'word': '시부야계', 'start_idx': 0, 'end_idx': 3, 'type': 'GEN'}","{'word': 'P&ART SASANOOOHA', 'start_idx': 456, 'end_idx': 471, 'type': 'ART'}",genre:artist
2375,락의 시초는 블루스이며 1930년대 로버트존슨이 개발한 리듬이 시초가 된다.,"{'word': '락', 'start_idx': 0, 'end_idx': 0, 'type': 'GEN'}","{'word': '로버트존슨', 'start_idx': 20, 'end_idx': 24, 'type': 'ART'}",genre:artist
869,싱어송라이터였던 행크 윌리엄스는 그의 50년대 초 전성기였고 레프티 프리첼은 그의 부드럽고 아름다운 멜로디 구조와 풍부하고 맑은 테너 톤으로 컨트리 음악의 판도를 바꿔놓았다.,"{'word': '50년대 초', 'start_idx': 21, 'end_idx': 26, 'type': 'DAT'}","{'word': '컨트리 음악', 'start_idx': 79, 'end_idx': 84, 'type': 'GEN'}",no_relation
42,"아프리카계 미합중국인들의 문화 (음악, 패션, 예술) 등 전반적인 삶의 양식을 조합하여 새로운 스타일을 만들어 내는 방식을 힙합 (Hip도 Hop도 '튀는, 생기있고 활발하게 움직인다'라는 뜻의 약동하는 의미를 갖고 있다.) 이라고 호칭하기 시작하였으며, 이때가 1974년 11월이었다.","{'word': '아프리카계 미합중국인들', 'start_idx': 0, 'end_idx': 11, 'type': 'POH'}","{'word': '1974년 11월', 'start_idx': 147, 'end_idx': 155, 'type': 'DAT'}",product:origin
653,"1922년 ∼ 1930년 사이 《사의 찬미》의 윤심덕을 비롯해 《낙화유수》(김서정 작사/작곡)의 이정숙과 《봄노래 부르자》(김서정 작사/작곡)의 채규엽 및 세동무의 채동원, 그리고 《암로(暗路)》의 김연실 등이 대표적인 가수였다.","{'word': '봄노래 부르자', 'start_idx': 60, 'end_idx': 66, 'type': 'POH'}","{'word': '김서정', 'start_idx': 69, 'end_idx': 71, 'type': 'ART'}",product:origin
1133,사이먼 프리스는 그 스타일을 멜로디와 조화보다는 리듬에 진보적인 록 사고방식을 적용한 것이라고 묘사했다.,"{'word': '록', 'start_idx': 36, 'end_idx': 36, 'type': 'GEN'}","{'word': '사이먼 프리스', 'start_idx': 0, 'end_idx': 6, 'type': 'ART'}",genre:artist
893,컨템포러리 컨트리 사운드는 고전 홍키 통크에 중점을 두었지만 새로운 기술과 장비의 장점을 받아들여 순수한 컨트리 뮤직과 비슷한 사운드를 낼 수 있게 되었다.,"{'word': '컨템포러리 컨트리 사운드', 'start_idx': 0, 'end_idx': 12, 'type': 'GEN'}","{'word': '고전 홍키 통크', 'start_idx': 15, 'end_idx': 22, 'type': 'GEN'}",genre:super_genre
226,"비틀즈, 롤링 스톤스, 애니멀스등을 배출해 낸 탄탄한 기초 위에 영국의 블루스 록은 체계적이고 정당화된 힘을 지니고 있었다.","{'word': '애니멀스', 'start_idx': 13, 'end_idx': 16, 'type': 'ART'}","{'word': '영국의 블루스 록', 'start_idx': 36, 'end_idx': 44, 'type': 'GEN'}",no_relation
3240,이 앨범은 데이비스와 프로듀서 테오 마케로가 1960년대 후반부터 탐구하기 시작한 일종의 음악 접근법의 정점이었다.,"{'word': '데이비스', 'start_idx': 6, 'end_idx': 9, 'type': 'ART'}","{'word': '1960년대 후반', 'start_idx': 25, 'end_idx': 33, 'type': 'DAT'}",no_relation
2693,마일즈 데이비스는 역사상 가장 잘 팔린 재즈 앨범 Kind of Blue(1959년)로 이 개념을 더 위대한 재즈 세계에 소개했다.,"{'word': 'Kind of Blue', 'start_idx': 28, 'end_idx': 39, 'type': 'POH'}","{'word': '1959년', 'start_idx': 41, 'end_idx': 45, 'type': 'DAT'}",product:origin
