id,sentence,subject_entity,object_entity,title,relation
0,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '어쿠스틱 재즈', 'start_idx': 54, 'end_idx': 60, 'type': 'GEN'}","{'word': '허비 핸콕', 'start_idx': 46, 'end_idx': 50, 'type': 'ART'}",재즈,org
1,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '퓨전', 'start_idx': 13, 'end_idx': 14, 'type': 'GEN'}","{'word': '1970년대', 'start_idx': 6, 'end_idx': 11, 'type': 'DAT'}",재즈,arb
2,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '어쿠스틱 재즈', 'start_idx': 54, 'end_idx': 60, 'type': 'GEN'}","{'word': '퓨전', 'start_idx': 13, 'end_idx': 14, 'type': 'GEN'}",재즈,arb
3,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '어쿠스틱 재즈', 'start_idx': 54, 'end_idx': 60, 'type': 'GEN'}","{'word': '칙 코레아', 'start_idx': 39, 'end_idx': 43, 'type': 'ART'}",재즈,arb
4,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '1970년대', 'start_idx': 6, 'end_idx': 11, 'type': 'DAT'}","{'word': '어쿠스틱 재즈', 'start_idx': 54, 'end_idx': 60, 'type': 'GEN'}",재즈,arb
5,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '1970년대', 'start_idx': 6, 'end_idx': 11, 'type': 'DAT'}","{'word': '허비 핸콕', 'start_idx': 46, 'end_idx': 50, 'type': 'ART'}",재즈,arb
6,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '1970년대', 'start_idx': 6, 'end_idx': 11, 'type': 'DAT'}","{'word': '칙 코레아', 'start_idx': 39, 'end_idx': 43, 'type': 'ART'}",재즈,arb
7,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '칙 코레아', 'start_idx': 39, 'end_idx': 43, 'type': 'ART'}","{'word': '1970년대', 'start_idx': 6, 'end_idx': 11, 'type': 'DAT'}",재즈,arb
8,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '칙 코레아', 'start_idx': 39, 'end_idx': 43, 'type': 'ART'}","{'word': '어쿠스틱 재즈', 'start_idx': 54, 'end_idx': 60, 'type': 'GEN'}",재즈,arb
9,"예를 들어 1970년대 퓨전 장르에서 두각을 나타냈던 몇몇 뮤지션들이 칙 코레아, 허비 핸콕 등 어쿠스틱 재즈를 한 번 더 하기 시작했다.","{'word': '허비 핸콕', 'start_idx': 46, 'end_idx': 50, 'type': 'ART'}","{'word': '1970년대', 'start_idx': 6, 'end_idx': 11, 'type': 'DAT'}",재즈,arb
10,"2010년대 중반에는 R&B, 힙합, 대중음악이 재즈에 미치는 영향력이 점점 더 커졌다.","{'word': '재즈', 'start_idx': 27, 'end_idx': 28, 'type': 'GEN'}","{'word': 'R&B', 'start_idx': 12, 'end_idx': 14, 'type': 'GEN'}",재즈,org
11,"2010년대 중반에는 R&B, 힙합, 대중음악이 재즈에 미치는 영향력이 점점 더 커졌다.","{'word': 'R&B', 'start_idx': 12, 'end_idx': 14, 'type': 'GEN'}","{'word': '2010년대 중반', 'start_idx': 0, 'end_idx': 8, 'type': 'DAT'}",재즈,arb
12,"2010년대 중반에는 R&B, 힙합, 대중음악이 재즈에 미치는 영향력이 점점 더 커졌다.","{'word': '2010년대 중반', 'start_idx': 0, 'end_idx': 8, 'type': 'DAT'}","{'word': '힙합', 'start_idx': 17, 'end_idx': 18, 'type': 'GEN'}",재즈,arb
13,"2010년대 중반에는 R&B, 힙합, 대중음악이 재즈에 미치는 영향력이 점점 더 커졌다.","{'word': '2010년대 중반', 'start_idx': 0, 'end_idx': 8, 'type': 'DAT'}","{'word': '대중음악', 'start_idx': 21, 'end_idx': 24, 'type': 'GEN'}",재즈,arb
14,"즉흥 연주, 복잡한 리듬, 조화로운 질감과 같은 재즈 요소들이 장르에 도입되어 결과적으로 새로운 청취자들에게 큰 영향을 미쳤으며 어떤 면에서는 전통주의자들이 리얼 재즈라고 부르는 것(bebop, cool, modal jazz)과 반드시 관련이 없는 새로운 세대에 대한 재즈의 다재다능성을 유지시켰다.","{'word': '리얼 재즈', 'start_idx': 88, 'end_idx': 92, 'type': 'GEN'}","{'word': 'bebop', 'start_idx': 102, 'end_idx': 106, 'type': 'GEN'}",재즈,org
15,"즉흥 연주, 복잡한 리듬, 조화로운 질감과 같은 재즈 요소들이 장르에 도입되어 결과적으로 새로운 청취자들에게 큰 영향을 미쳤으며 어떤 면에서는 전통주의자들이 리얼 재즈라고 부르는 것(bebop, cool, modal jazz)과 반드시 관련이 없는 새로운 세대에 대한 재즈의 다재다능성을 유지시켰다.","{'word': 'modal jazz', 'start_idx': 115, 'end_idx': 124, 'type': 'GEN'}","{'word': '리얼 재즈', 'start_idx': 88, 'end_idx': 92, 'type': 'GEN'}",재즈,org
16,"즉흥 연주, 복잡한 리듬, 조화로운 질감과 같은 재즈 요소들이 장르에 도입되어 결과적으로 새로운 청취자들에게 큰 영향을 미쳤으며 어떤 면에서는 전통주의자들이 리얼 재즈라고 부르는 것(bebop, cool, modal jazz)과 반드시 관련이 없는 새로운 세대에 대한 재즈의 다재다능성을 유지시켰다.","{'word': 'cool', 'start_idx': 109, 'end_idx': 112, 'type': 'GEN'}","{'word': 'bebop', 'start_idx': 102, 'end_idx': 106, 'type': 'GEN'}",재즈,arb
17,"즉흥 연주, 복잡한 리듬, 조화로운 질감과 같은 재즈 요소들이 장르에 도입되어 결과적으로 새로운 청취자들에게 큰 영향을 미쳤으며 어떤 면에서는 전통주의자들이 리얼 재즈라고 부르는 것(bebop, cool, modal jazz)과 반드시 관련이 없는 새로운 세대에 대한 재즈의 다재다능성을 유지시켰다.","{'word': '재즈', 'start_idx': 150, 'end_idx': 151, 'type': 'GEN'}","{'word': 'cool', 'start_idx': 109, 'end_idx': 112, 'type': 'GEN'}",재즈,arb
18,"시카고 스타일 재즈는 에디 콘돈, 버드 프리먼, 지미 맥파트랜드, 데이브 터프 등 백인 뮤지션들이 개발했다.","{'word': '시카고 스타일 재즈', 'start_idx': 0, 'end_idx': 9, 'type': 'GEN'}","{'word': '에디 콘돈', 'start_idx': 12, 'end_idx': 16, 'type': 'ART'}",재즈,org
19,"시카고 스타일 재즈는 에디 콘돈, 버드 프리먼, 지미 맥파트랜드, 데이브 터프 등 백인 뮤지션들이 개발했다.","{'word': '시카고 스타일 재즈', 'start_idx': 0, 'end_idx': 9, 'type': 'GEN'}","{'word': '버드 프리먼', 'start_idx': 19, 'end_idx': 24, 'type': 'ART'}",재즈,org
20,"시카고 스타일 재즈는 에디 콘돈, 버드 프리먼, 지미 맥파트랜드, 데이브 터프 등 백인 뮤지션들이 개발했다.","{'word': '시카고 스타일 재즈', 'start_idx': 0, 'end_idx': 9, 'type': 'GEN'}","{'word': '지미 맥파트랜드', 'start_idx': 27, 'end_idx': 34, 'type': 'ART'}",재즈,org
21,"시카고 스타일 재즈는 에디 콘돈, 버드 프리먼, 지미 맥파트랜드, 데이브 터프 등 백인 뮤지션들이 개발했다.","{'word': '시카고 스타일 재즈', 'start_idx': 0, 'end_idx': 9, 'type': 'GEN'}","{'word': '데이브 터프', 'start_idx': 37, 'end_idx': 42, 'type': 'ART'}",재즈,org
