id,sentence,subject_entity,object_entity,relation
1,"힙합(Hip Hop)은 1970년대 미합중국 뉴욕의 브롱스에서 유행하기 시작한 춤과 대중음악으로부터 파생된 거리문화이다. 또한 미합중국 뉴욕의 브롱스에서 아프리카계 미국인과 캐리비안 미합중국인, 히스패닉계 주민의 커뮤니티에서 행해지고 있었던 블록 파티에서 태어난 문화이다.","{'word': '힙합', 'start_idx': 0, 'end_idx': 1, 'type': 'GEN'}","{'word': 'Hip Hop', 'start_idx': 3, 'end_idx': 9, 'type': 'GEN'}",None
4,"힙합(Hip Hop)은 1970년대 미합중국 뉴욕의 브롱스에서 유행하기 시작한 춤과 대중음악으로부터 파생된 거리문화이다. 또한 미합중국 뉴욕의 브롱스에서 아프리카계 미국인과 캐리비안 미합중국인, 히스패닉계 주민의 커뮤니티에서 행해지고 있었던 블록 파티에서 태어난 문화이다.","{'word': '대중음악', 'start_idx': 47, 'end_idx': 50, 'type': 'GEN'}","{'word': '아프리카계 미국인', 'start_idx': 86, 'end_idx': 94, 'type': 'POH'}",None
7,"아이스 큐브의 <AmeriKKKa’s Most Wanted>, 어 트라이브 콜드 퀘스트의 <The Low End Theory>, 우탱클랜의 <Enter The Wu-Tang (36 Chambers)>, 닥터 드레의 <The Chronic>, 스눕 도기 독의 <DoggyStyle>, 나스의 <Illmatic>, 노토리어스 B.I.G의 <Ready to Die>, 투팍의 <All Eyez on Me>, DMX의 <It’s Dark and Hell Is Hot>, 제이 지의 <Vol.2… Hard Knock Knock Life> 등이 있다.","{'word': '아이스 큐브', 'start_idx': 0, 'end_idx': 5, 'type': 'ART'}","{'word': '닥터 드레', 'start_idx': 113, 'end_idx': 117, 'type': 'ART'}",None
8,"아이스 큐브의 <AmeriKKKa’s Most Wanted>, 어 트라이브 콜드 퀘스트의 <The Low End Theory>, 우탱클랜의 <Enter The Wu-Tang (36 Chambers)>, 닥터 드레의 <The Chronic>, 스눕 도기 독의 <DoggyStyle>, 나스의 <Illmatic>, 노토리어스 B.I.G의 <Ready to Die>, 투팍의 <All Eyez on Me>, DMX의 <It’s Dark and Hell Is Hot>, 제이 지의 <Vol.2… Hard Knock Knock Life> 등이 있다.","{'word': '36 Chambers', 'start_idx': 98, 'end_idx': 108, 'type': 'POH'}","{'word': 'DMX', 'start_idx': 225, 'end_idx': 227, 'type': 'ART'}",None
10,2010년대 힙합은 기존의 모습을 가지면서도 수 많은 형태로 표현된다.,"{'word': '힙합', 'start_idx': 7, 'end_idx': 8, 'type': 'GEN'}","{'word': '2010년대', 'start_idx': 0, 'end_idx': 5, 'type': 'DAT'}",None
14,"이외에도 시대의 아이콘 중 한 명인 퍼렐 윌리엄스와 그를 중심으로 한 N.E.R.D, Cam’ron과 그의 크루 Dipset, West Side와 과거의 힙합을 이야기하며 등장해 일약 스타가 된 더 게임, 남부의 화려한 듀오 아웃캐스트 등이 있다.","{'word': 'Cam’ron', 'start_idx': 48, 'end_idx': 54, 'type': 'ART'}","{'word': 'West Side', 'start_idx': 71, 'end_idx': 79, 'type': 'POH'}",None
15,"이외에도 시대의 아이콘 중 한 명인 퍼렐 윌리엄스와 그를 중심으로 한 N.E.R.D, Cam’ron과 그의 크루 Dipset, West Side와 과거의 힙합을 이야기하며 등장해 일약 스타가 된 더 게임, 남부의 화려한 듀오 아웃캐스트 등이 있다.","{'word': 'West Side', 'start_idx': 71, 'end_idx': 79, 'type': 'POH'}","{'word': 'Dipset', 'start_idx': 63, 'end_idx': 68, 'type': 'ART'}",None
18,"훗날 케이스 카우보이는 자신의 공연에서 랩 중에 즉흥적으로 힙합을 넣었고, 이는 슈가힐 갱의 《레퍼스 딜라이트》와 같은 다른 음반을 통해 빠르게 전파되었다.","{'word': '슈가힐 갱', 'start_idx': 45, 'end_idx': 49, 'type': 'ART'}","{'word': '레퍼스 딜라이트', 'start_idx': 53, 'end_idx': 60, 'type': 'POH'}",None
19,"훗날 케이스 카우보이는 자신의 공연에서 랩 중에 즉흥적으로 힙합을 넣었고, 이는 슈가힐 갱의 《레퍼스 딜라이트》와 같은 다른 음반을 통해 빠르게 전파되었다.","{'word': '힙합', 'start_idx': 33, 'end_idx': 34, 'type': 'GEN'}","{'word': '슈가힐 갱', 'start_idx': 45, 'end_idx': 49, 'type': 'ART'}",None
23,"힙합은 랩, 비보잉, 크래피티, 비트박스, (디제잉) 크게 4요소로 이루어져 있다.","{'word': '힙합', 'start_idx': 0, 'end_idx': 1, 'type': 'GEN'}","{'word': '비트박스', 'start_idx': 18, 'end_idx': 21, 'type': 'POH'}",None
25,"카니예 웨스트는 그의 음악과 패션, 여러 구설수를 낳은 행동과 함께 대중문화 아이콘으로 자리매김한다.","{'word': '대중문화 아이콘', 'start_idx': 38, 'end_idx': 45, 'type': 'POH'}","{'word': '카니예 웨스트', 'start_idx': 0, 'end_idx': 6, 'type': 'ART'}",None
